Entidad financiadora;Financing entity
Asociación Catalana de Universidades Públicas (ACUP);ACUP
Ayuntamiento de Villanueva de los Infantes;Villanueva de los Infantes
Comisión Europea;European Commission
Comisión Interministerial de Ciencia y Tecnología;Comisión Interministerial Ciencia y Tecnología
Comunidad de Madrid;Comunidad de Madrid
Consejo Superior de Investigaciones Científicas (CSIC);CSIC
Departamento de Educación Universidades e Investigación del Gobierno Vasco;Gobierno Vasco
Dirección General de Investigación Científica y Técnica (DGICYT);DGICYT
DIRECCIÓN XERAL DE I+D+I;DIRECCIÓN XERAL DE I+D+I
FECYT;FECYT
Fundación BBVA;Fundación BBVA
Generalitat de Catalunya;Generalitat de Catalunya
Generalitat Valenciana;Generalitat Valenciana
Gobierno de Canarias;Gobierno de Canarias
Innovación y Universidades;Innovación y Universidades
Junta de Andalucía;Junta de Andalucía
Junta de Comunidades de Castilla-La Mancha;Castilla-La Mancha
La Caixa;La Caixa
MediaLab UGR;MediaLab UGR
Ministerio de Ciencia;Ministerio de Ciencia
Plan de Promoción a la Investigación de la UNED;UNED
Real Academia Española;Real Academia Española
Universidad de Cádiz;Universidad de Cádiz
Universidad de León;Universidad de León
Universidad Rey Juan Carlos (URJC);Universidad Rey Juan Carlos
Xunta de Galicia;Xunta de Galicia