Fuente de información;Information sources
Academia.edu;Academia.edu
Agencia Estatal de Investigación;AEI
Portal Andrés de Poza;Andrés de Poza
Red ARACNE;ARACNE
Bibliografía;Biblio
Biblioteca Virtual Miguel de Cervantes;Biblio Cervantes
Grupo de investigación BIDISO;BIDISO
Congreso Territorios Digitales;Territorios Digitales
Congresos HDH;Congresos HDH
Consorcio Jornadas de los 20 años del Consorcio Madroño;Madroño
CORDIS (EU research results);CORDIS
Diarium (USAL);Diarium
Fundación BBVA;Fundación BBVA
Google;Google
GrinUGR;GrinUGR
Jornada Proyectos de Humanidades Digitales Biblioteca Nacional de España;Jornada BNE
I Jornada científico-técnica en Humanidades Digitales en el CSIC;Jornada CSIC
LINHD;LINHD
Fuente propia;Own source
Portal del Hispanismo;Portal Hispanismo
PREMIOS HDH;PREMIOS HDH
Proyectos MediaLabUGR;MediaLabUGR
RecerCaixa;RecerCaixa
Red Knowmetrics;Red Knowmetrics
Proyecto ReMetCa;ReMetCa
Seminario Historia y Humanidades Digitales UCLM 2017;Seminario UCLM
Web personal;Web personal